caption,head,name,tokenized,indexed
홍길동 ‘묵직한 카리스마’,bluedragon,bluedragon1.jpg,홍길동 ‘ 묵직 한 카리스마 ’,2 61 0 9 0 62
홍길동 '눈부신 미모',bluedragon,bluedragon2.jpg,홍길동 ' 눈부신 미모 ',2 3 15 29 3
"홍길동, '여우주연상 여전한 기쁨'",bluedragon,bluedragon3.jpg,"홍길동 , ' 여우 주연 상 여전 한 기쁨 '",2 4 3 0 35 18 63 9 0 3
홍길동 '매력적인 미소',bluedragon,bluedragon4.jpg,홍길동 ' 매력 적 인 미소 ',2 3 36 37 38 16 3
"홍길동,'부드러운 미소'",bluedragon,bluedragon5.jpg,"홍길동 , ' 부드러운 미소 '",2 4 3 64 16 3
"★ 들의 산실, 돌아온 '청룡영화상' 올해로 42th",bluedragon,bluedragon6.jpg,"★ 들 의 산실 , 돌아온 ' 청룡 영화상 ' 올해 로 42 th",0 14 8 0 4 0 3 7 10 3 0 22 39 0
"홍길동-홍길동, '저희 손모양 어떤가요?'",bluedragon,bluedragon7.jpg,"홍길동 - 홍길동 , ' 저희 손 모양 어떤 가요 ? '",2 5 2 4 3 0 65 0 0 0 28 3
"'청룡 핸드프린팅' 홍길동, 이게 끝이 아니다!",bluedragon,bluedragon8.jpg,"' 청룡 핸드 프린팅 ' 홍길동 , 이게 끝 이 아니 다 !",3 7 23 24 3 2 4 66 67 12 0 68 13
"홍길동-홍길동, '청룡이 사랑한 배우'",bluedragon,bluedragon9.jpg,"홍길동 - 홍길동 , ' 청룡 이 사랑 한 배우 '",2 5 2 4 3 7 12 69 9 19 3
"홍길동-홍길동, '사인도 핸드프린팅도 매력적'",bluedragon,bluedragon10.jpg,"홍길동 - 홍길동 , ' 사인 도 핸드 프린팅 도 매력 적 '",2 5 2 4 3 20 17 23 24 17 36 37 3
"""이게 끝은 아냐""…홍길동→홍길동, 청룡영화상으로 돌아본 '나라는 배우'",bluedragon,bluedragon11.jpg,""" 이게 끝 은 아냐 ""… 홍길동 → 홍길동 , 청룡 영화 상 으로 돌아본 ' 나라 는 배우 '",6 66 67 21 0 70 2 40 2 4 7 30 18 41 0 3 0 11 19 3
홍길동 '가문의 영광',bluedragon,bluedragon12.jpg,홍길동 ' 가문 의 영광 ',2 3 71 8 25 3
홍길동 '조각 비주얼',bluedragon,bluedragon13.jpg,홍길동 ' 조각 비주얼 ',2 3 0 72 3
홍길동 '이러니 안 반해?',bluedragon,bluedragon14.jpg,홍길동 ' 이러 니 안 반해 ? ',2 3 0 0 0 0 28 3
홍길동 '매력적인 시스루 패션',bluedragon,bluedragon15.jpg,홍길동 ' 매력 적 인 시스루 패션 ',2 3 36 37 38 0 73 3
홍길동 '부드러운 미소',bluedragon,bluedragon16.jpg,홍길동 ' 부드러운 미소 ',2 3 64 16 3
홍길동 '멋진 핸드프린팅 완성',bluedragon,bluedragon17.jpg,홍길동 ' 멋진 핸드 프린팅 완성 ',2 3 0 23 24 0 3
"홍길동, 잊지못할 남우주연상!",bluedragon,bluedragon18.jpg,"홍길동 , 잊 지 못할 남 우주 연상 !",2 4 0 42 0 43 0 44 13
"홍길동, 크리스토퍼 놀란 감독님 연락주세요!",bluedragon,bluedragon19.jpg,"홍길동 , 크리스토퍼 놀란 감독 님 연락 주 세요 !",2 4 74 45 46 0 0 47 0 13
"홍길동, 우아함이 빛나는 순간!",bluedragon,bluedragon20.jpg,"홍길동 , 우아 함 이 빛나 는 순간 !",2 4 26 48 12 49 11 0 13
"홍길동 ""기사로만 보던 현장, 직접 하게 돼 영광""",bluedragon,bluedragon21.jpg,"홍길동 "" 기사 로 만 보 던 현장 , 직접 하 게 돼 영광 """,2 6 0 22 31 75 0 0 4 0 0 76 0 25 6
"홍길동 ""남우조연상 뿌듯해…주연상은 놀란 감독과""",bluedragon,bluedragon22.jpg,"홍길동 "" 남우 조연상 뿌듯 해 … 주 연상 은 놀란 감독 과 """,2 6 77 50 0 0 78 47 44 21 45 46 79 6
"""꿈·가문의 영광""…홍길동→홍길동, 다시 되새긴 수상의 의미",bluedragon,bluedragon23.jpg,""" 꿈 · 가문 의 영광 ""… 홍길동 → 홍길동 , 다시 되새긴 수상 의 의미",6 0 0 71 8 25 70 2 40 2 4 0 80 81 8 82
"""영화 국가대표 느낌"" 홍길동→홍길동, 1년 만에 되새긴 '청룡영화상' 의미",bluedragon,bluedragon24.jpg,""" 영화 국가 대표 느낌 "" 홍길동 → 홍길동 , 1 년 만 에 되새긴 ' 청룡 영화상 ' 의미",6 30 0 0 0 6 2 40 2 4 0 0 31 32 80 3 7 10 3 82
