caption,head,name,tokenized,indexed
홍길동 ‘묵직한 카리스마’,bluedragon,bluedragon1.jpg,홍길동 ‘ 묵직 한 카리스마 ’,2 60 0 9 0 61
홍길동 '눈부신 미모',bluedragon,bluedragon2.jpg,홍길동 ' 눈부신 미모 ',2 3 15 29 3
"홍길동, '여우주연상 여전한 기쁨'",bluedragon,bluedragon3.jpg,"홍길동 , ' 여우 주연 상 여전 한 기쁨 '",2 4 3 0 35 18 62 9 0 3
홍길동 '매력적인 미소',bluedragon,bluedragon4.jpg,홍길동 ' 매력 적 인 미소 ',2 3 36 37 38 16 3
"홍길동,'부드러운 미소'",bluedragon,bluedragon5.jpg,"홍길동 , ' 부드러운 미소 '",2 4 3 63 16 3
"★ 들의 산실, 돌아온 '청룡영화상' 올해로 42th",bluedragon,bluedragon6.jpg,"★ 들 의 산실 , 돌아온 ' 청룡 영화상 ' 올해 로 42 th",0 14 8 0 4 0 3 7 10 3 0 22 39 0
"홍길동-홍길동, '저희 손모양 어떤가요?'",bluedragon,bluedragon7.jpg,"홍길동 - 홍길동 , ' 저희 손 모양 어떤 가요 ? '",2 5 2 4 3 0 64 0 0 0 28 3
"'청룡 핸드프린팅' 홍길동, 이게 끝이 아니다!",bluedragon,bluedragon8.jpg,"' 청룡 핸드 프린팅 ' 홍길동 , 이게 끝 이 아니 다 !",3 7 23 24 3 2 4 65 66 12 0 67 13
"홍길동-홍길동, '청룡이 사랑한 배우'",bluedragon,bluedragon9.jpg,"홍길동 - 홍길동 , ' 청룡 이 사랑 한 배우 '",2 5 2 4 3 7 12 68 9 19 3
"홍길동-홍길동, '사인도 핸드프린팅도 매력적'",bluedragon,bluedragon10.jpg,"홍길동 - 홍길동 , ' 사인 도 핸드 프린팅 도 매력 적 '",2 5 2 4 3 20 17 23 24 17 36 37 3
"""이게 끝은 아냐""…홍길동→홍길동, 청룡영화상으로 돌아본 '나라는 배우'",bluedragon,bluedragon11.jpg,""" 이게 끝 은 아냐 ""… 홍길동 → 홍길동 , 청룡 영화 상 으로 돌아본 ' 나라 는 배우 '",6 65 66 21 0 69 2 40 2 4 7 30 18 41 0 3 0 11 19 3
홍길동 '가문의 영광',bluedragon,bluedragon12.jpg,홍길동 ' 가문 의 영광 ',2 3 70 8 25 3
홍길동 '조각 비주얼',bluedragon,bluedragon13.jpg,홍길동 ' 조각 비주얼 ',2 3 0 0 3
홍길동 '이러니 안 반해?',bluedragon,bluedragon14.jpg,홍길동 ' 이러 니 안 반해 ? ',2 3 0 0 0 0 28 3
홍길동 '매력적인 시스루 패션',bluedragon,bluedragon15.jpg,홍길동 ' 매력 적 인 시스루 패션 ',2 3 36 37 38 0 71 3
홍길동 '부드러운 미소',bluedragon,bluedragon16.jpg,홍길동 ' 부드러운 미소 ',2 3 63 16 3
홍길동 '멋진 핸드프린팅 완성',bluedragon,bluedragon17.jpg,홍길동 ' 멋진 핸드 프린팅 완성 ',2 3 0 23 24 0 3
